,Zip,City,State,Latitude,Longitude,2010 Census Population,Distance from Reactor,Reactor_lat,Reactor_lng
27992,72633,Everton,AR,36.150276,-92.89576,1833.0,96.50292400962789,35.330898,-93.247162
8853,72173,Vilonia,AR,35.102318,-92.22148,9078.0,96.61104789883889,35.330898,-93.247162
530,71913,Hot Springs National Park,AR,34.47056,-93.08805,43436.0,96.78974339798809,35.330898,-93.247162
4857,72212,Little Rock,AR,34.783505,-92.40807,12705.0,97.69300067927142,35.330898,-93.247162
26411,72210,Little Rock,AR,34.71542,-92.47086999999999,14258.0,98.42067328565314,35.330898,-93.247162
17930,72926,Boles,AR,34.734204,-94.05784,545.0,99.27956173833955,35.330898,-93.247162
31103,72051,Fox,AR,35.814005,-92.32243000000001,622.0,99.43243666548769,35.330898,-93.247162
11421,72211,Little Rock,AR,34.749722999999996,-92.41345,21288.0,99.7164709652321,35.330898,-93.247162
31493,72952,Rudy,AR,35.562293,-94.31088000000001,2945.0,99.76443094202071,35.330898,-93.247162
14103,72682,Valley Springs,AR,36.136628,-92.75237,194.0,100.13837101231246,35.330898,-93.247162
28089,72934,Chester,AR,35.668554,-94.27583,1047.0,100.43598511949095,35.330898,-93.247162
8552,72956,Van Buren,AR,35.456536,-94.34581,34074.0,100.59323155778415,35.330898,-93.247162
16328,71964,Pearcy,AR,34.424114,-93.24096,3926.0,100.86302073376756,35.330898,-93.247162
32834,72227,Little Rock,AR,34.771024,-92.37116999999999,11462.0,101.19540284946699,35.330898,-93.247162
882,72067,Higden,AR,35.564065,-92.1649,2726.0,101.4379634004277,35.330898,-93.247162
7028,72601,Harrison,AR,36.236984,-93.09345,30163.0,101.73365120782269,35.330898,-93.247162
2282,72903,Fort Smith,AR,35.357040999999995,-94.36914,26148.0,101.83747628958172,35.330898,-93.247162
1700,72111,Mount Vernon,AR,35.227869,-92.13033,1362.0,102.05543836838167,35.330898,-93.247162
27024,72002,Alexander,AR,34.644387,-92.50223000000001,14134.0,102.1715171728928,35.330898,-93.247162
22264,72916,Fort Smith,AR,35.265119,-94.37789000000001,7131.0,102.90856772581549,35.330898,-93.247162
657,72639,Harriet,AR,36.021569,-92.48605,683.0,103.10659870548274,35.330898,-93.247162
27153,72207,Little Rock,AR,34.771291,-92.34241999999999,10344.0,103.25340216978098,35.330898,-93.247162
3988,72118,North Little Rock,AR,34.813269,-92.30229,22592.0,103.50566368732964,35.330898,-93.247162
3561,72044,Edgemont,AR,35.624351000000004,-92.16056,881.0,103.69401445665679,35.330898,-93.247162
30201,72945,Midland,AR,35.090489,-94.35096999999999,314.0,103.81520363915297,35.330898,-93.247162
13532,72015,Benton,AR,34.564734,-92.59562,27307.0,103.87981805248192,35.330898,-93.247162
10027,72904,Fort Smith,AR,35.406185,-94.39103,21893.0,104.08780574772284,35.330898,-93.247162
26497,71960,Norman,AR,34.480095,-93.72298,1383.0,104.1130138547561,35.330898,-93.247162
1507,71933,Bonnerdale,AR,34.397265999999995,-93.4063,1616.0,104.85837907208547,35.330898,-93.247162
32356,72611,Alpena,AR,36.272469,-93.31302,1696.0,104.89915849145184,35.330898,-93.247162
16723,72019,North Little Rock,AR,34.804790999999994,-92.28925,23346.0,105.0204880224912,35.330898,-93.247162
8469,72205,Little Rock,AR,34.752390999999996,-92.3355,23000.0,105.03901059676187,35.330898,-93.247162
9134,72908,Fort Smith,AR,35.301623,-94.41283,13378.0,105.84621768646986,35.330898,-93.247162
13379,72022,Bryant,AR,34.606079,-92.49472,14270.0,105.84650436461973,35.330898,-93.247162
1509,72680,Timbo,AR,35.880462,-92.29117,807.0,105.88129657852288,35.330898,-93.247162
8953,72901,Fort Smith,AR,35.373791,-94.41371,21591.0,105.93620920327344,35.330898,-93.247162
7617,72937,Hackett,AR,35.15875,-94.39461999999999,3858.0,105.97936279469262,35.330898,-93.247162
26160,72204,Little Rock,AR,34.729159,-92.34019,32505.0,106.31849778875853,35.330898,-93.247162
3918,72774,West Fork,AR,35.896307,-94.19660999999999,6121.0,106.42358765270743,35.330898,-93.247162
28686,72932,Cedarville,AR,35.604409000000004,-94.37313,1597.0,106.44131348171481,35.330898,-93.247162
26283,72663,Onia,AR,35.927802,-92.32249,361.0,106.75417546698567,35.330898,-93.247162
32802,72938,Hartford,AR,35.026990999999995,-94.36684,1391.0,107.26001666254014,35.330898,-93.247162
28523,72120,Sherwood,AR,34.855962,-92.21996999999999,31610.0,107.37733149034506,35.330898,-93.247162
23607,72119,North Little Rock,AR,34.80165,-92.259781,5.0,107.45103820404759,35.330898,-93.247162
27794,72137,Rose Bud,AR,35.341122999999996,-92.06141,2555.0,107.59864689636039,35.330898,-93.247162
